,1,2_to_5,6_to_20,21_to_many
la Marina de Port,75 (71.43%),27 (25.71%),3 (2.86%),0 (0.00%)
la Marina del Prat Vermell,32 (66.67%),14 (29.17%),2 (4.17%),0 (0.00%)
la Maternitat i Sant Ramon,187 (67.27%),80 (28.78%),10 (3.60%),1 (0.36%)
la Nova Esquerra de l'Eixample,255 (72.24%),90 (25.50%),7 (1.98%),1 (0.28%)
la Prosperitat,16 (84.21%),3 (15.79%),0 (0.00%),0 (0.00%)
la Sagrada Família,332 (71.71%),101 (21.81%),26 (5.62%),4 (0.86%)
la Sagrera,26 (86.67%),3 (10.00%),1 (3.33%),0 (0.00%)
la Salut,40 (86.96%),5 (10.87%),1 (2.17%),0 (0.00%)
la Teixonera,20 (86.96%),3 (13.04%),0 (0.00%),0 (0.00%)
la Trinitat Nova,7 (87.50%),1 (12.50%),0 (0.00%),0 (0.00%)
la Trinitat Vella,12 (92.31%),1 (7.69%),0 (0.00%),0 (0.00%)
la Vall d'Hebron,7 (87.50%),1 (12.50%),0 (0.00%),0 (0.00%)
la Verneda i la Pau,28 (90.32%),3 (9.68%),0 (0.00%),0 (0.00%)
la Vila Olímpica del Poblenou,87 (81.31%),18 (16.82%),2 (1.87%),0 (0.00%)
la Vila de Gràcia,320 (71.59%),93 (20.81%),32 (7.16%),2 (0.45%)
les Corts,84 (80.77%),13 (12.50%),7 (6.73%),0 (0.00%)
les Roquetes,9 (75.00%),3 (25.00%),0 (0.00%),0 (0.00%)
les Tres Torres,10 (71.43%),2 (14.29%),2 (14.29%),0 (0.00%)
