,1,2_to_5,6_to_20,21_to_many
Chopera,73 (77.66%),20 (21.28%),1 (1.06%),0 (0.00%)
Ciudad Jardín,62 (86.11%),10 (13.89%),0 (0.00%),0 (0.00%)
Ciudad Universitaria,36 (76.60%),10 (21.28%),1 (2.13%),0 (0.00%)
Colina,12 (85.71%),1 (7.14%),1 (7.14%),0 (0.00%)
Comillas,74 (88.10%),9 (10.71%),1 (1.19%),0 (0.00%)
Concepción,55 (93.22%),3 (5.08%),1 (1.69%),0 (0.00%)
Corralejos,4 (80.00%),1 (20.00%),0 (0.00%),0 (0.00%)
Cortes,345 (73.09%),99 (20.97%),26 (5.51%),2 (0.42%)
Costillares,15 (68.18%),7 (31.82%),0 (0.00%),0 (0.00%)
Cuatro Caminos,136 (79.07%),32 (18.60%),3 (1.74%),1 (0.58%)
Cuatro Vientos,14 (82.35%),3 (17.65%),0 (0.00%),0 (0.00%)
Cármenes,46 (92.00%),4 (8.00%),0 (0.00%),0 (0.00%)
Delicias,125 (82.78%),26 (17.22%),0 (0.00%),0 (0.00%)
El Goloso,18 (90.00%),1 (5.00%),1 (5.00%),0 (0.00%)
El Pardo,40 (83.33%),8 (16.67%),0 (0.00%),0 (0.00%)
El Plantío,13 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
El Viso,57 (82.61%),10 (14.49%),2 (2.90%),0 (0.00%)
Embajadores,1149 (78.00%),273 (18.53%),48 (3.26%),3 (0.20%)
Entrevías,27 (90.00%),3 (10.00%),0 (0.00%),0 (0.00%)
Estrella,24 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Fontarrón,25 (73.53%),8 (23.53%),1 (2.94%),0 (0.00%)
Fuente del Berro,73 (87.95%),10 (12.05%),0 (0.00%),0 (0.00%)
Fuentelareina,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Gaztambide,108 (79.41%),24 (17.65%),4 (2.94%),0 (0.00%)
Goya,182 (80.18%),36 (15.86%),9 (3.96%),0 (0.00%)
Guindalera,158 (86.81%),20 (10.99%),2 (1.10%),2 (1.10%)
Hellín,26 (92.86%),2 (7.14%),0 (0.00%),0 (0.00%)
Hispanoamérica,51 (77.27%),15 (22.73%),0 (0.00%),0 (0.00%)
Horcajo,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Ibiza,127 (82.47%),25 (16.23%),2 (1.30%),0 (0.00%)
Imperial,99 (86.09%),16 (13.91%),0 (0.00%),0 (0.00%)
Jerónimos,56 (76.71%),16 (21.92%),1 (1.37%),0 (0.00%)
Justicia,499 (78.46%),115 (18.08%),21 (3.30%),1 (0.16%)
La Paz,28 (93.33%),2 (6.67%),0 (0.00%),0 (0.00%)
Legazpi,39 (90.70%),4 (9.30%),0 (0.00%),0 (0.00%)
Lista,107 (83.59%),17 (13.28%),4 (3.12%),0 (0.00%)
Los Angeles,22 (81.48%),4 (14.81%),1 (3.70%),0 (0.00%)
Los Rosales,31 (86.11%),5 (13.89%),0 (0.00%),0 (0.00%)
Lucero,57 (80.28%),14 (19.72%),0 (0.00%),0 (0.00%)
Marroquina,23 (88.46%),3 (11.54%),0 (0.00%),0 (0.00%)
Media Legua,23 (95.83%),1 (4.17%),0 (0.00%),0 (0.00%)
Mirasierra,13 (76.47%),4 (23.53%),0 (0.00%),0 (0.00%)
Moscardó,46 (76.67%),12 (20.00%),2 (3.33%),0 (0.00%)
Niño Jesús,37 (92.50%),3 (7.50%),0 (0.00%),0 (0.00%)
Nueva España,47 (82.46%),9 (15.79%),1 (1.75%),0 (0.00%)
Numancia,86 (78.90%),22 (20.18%),0 (0.00%),1 (0.92%)
Opañel,67 (80.72%),14 (16.87%),2 (2.41%),0 (0.00%)
Orcasitas,8 (66.67%),4 (33.33%),0 (0.00%),0 (0.00%)
Orcasur,16 (76.19%),3 (14.29%),2 (9.52%),0 (0.00%)
Pacífico,141 (78.77%),37 (20.67%),1 (0.56%),0 (0.00%)
Palacio,689 (76.39%),159 (17.63%),51 (5.65%),3 (0.33%)
Palomas,5 (50.00%),5 (50.00%),0 (0.00%),0 (0.00%)
Palomeras Bajas,40 (80.00%),9 (18.00%),1 (2.00%),0 (0.00%)
Palomeras Sureste,37 (94.87%),2 (5.13%),0 (0.00%),0 (0.00%)
Palos de Moguer,216 (82.76%),38 (14.56%),7 (2.68%),0 (0.00%)
Pavones,7 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Peñagrande,35 (79.55%),9 (20.45%),0 (0.00%),0 (0.00%)
Pilar,49 (89.09%),6 (10.91%),0 (0.00%),0 (0.00%)
Pinar del Rey,52 (76.47%),15 (22.06%),1 (1.47%),0 (0.00%)
Piovera,11 (64.71%),5 (29.41%),1 (5.88%),0 (0.00%)
Portazgo,26 (83.87%),5 (16.13%),0 (0.00%),0 (0.00%)
Pradolongo,27 (87.10%),4 (12.90%),0 (0.00%),0 (0.00%)
Prosperidad,99 (81.15%),22 (18.03%),1 (0.82%),0 (0.00%)
Pueblo Nuevo,103 (82.40%),22 (17.60%),0 (0.00%),0 (0.00%)
Puerta Bonita,61 (83.56%),12 (16.44%),0 (0.00%),0 (0.00%)
Puerta del Angel,157 (82.20%),33 (17.28%),1 (0.52%),0 (0.00%)
Quintana,87 (87.88%),11 (11.11%),1 (1.01%),0 (0.00%)
Recoletos,112 (76.19%),27 (18.37%),7 (4.76%),1 (0.68%)
Rejas,46 (80.70%),11 (19.30%),0 (0.00%),0 (0.00%)
Rios Rosas,117 (84.17%),18 (12.95%),4 (2.88%),0 (0.00%)
Rosas,53 (88.33%),6 (10.00%),1 (1.67%),0 (0.00%)
Salvador,15 (93.75%),1 (6.25%),0 (0.00%),0 (0.00%)
San Andrés,49 (74.24%),16 (24.24%),1 (1.52%),0 (0.00%)
San Cristobal,13 (68.42%),6 (31.58%),0 (0.00%),0 (0.00%)
San Diego,103 (76.87%),27 (20.15%),3 (2.24%),1 (0.75%)
San Fermín,21 (70.00%),9 (30.00%),0 (0.00%),0 (0.00%)
San Isidro,81 (76.42%),21 (19.81%),4 (3.77%),0 (0.00%)
San Juan Bautista,31 (96.88%),1 (3.12%),0 (0.00%),0 (0.00%)
San Pascual,39 (95.12%),2 (4.88%),0 (0.00%),0 (0.00%)
Santa Eugenia,11 (84.62%),2 (15.38%),0 (0.00%),0 (0.00%)
Simancas,92 (89.32%),11 (10.68%),0 (0.00%),0 (0.00%)
Sol,419 (68.13%),166 (26.99%),30 (4.88%),0 (0.00%)
Timón,30 (76.92%),9 (23.08%),0 (0.00%),0 (0.00%)
Trafalgar,197 (83.12%),31 (13.08%),9 (3.80%),0 (0.00%)
Universidad,863 (77.82%),208 (18.76%),34 (3.07%),4 (0.36%)
Valdeacederas,66 (82.50%),13 (16.25%),1 (1.25%),0 (0.00%)
Valdefuentes,78 (82.98%),13 (13.83%),3 (3.19%),0 (0.00%)
Valdemarín,5 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Valdezarza,42 (82.35%),9 (17.65%),0 (0.00%),0 (0.00%)
Vallehermoso,58 (90.62%),5 (7.81%),1 (1.56%),0 (0.00%)
Valverde,67 (87.01%),10 (12.99%),0 (0.00%),0 (0.00%)
Ventas,102 (83.61%),20 (16.39%),0 (0.00%),0 (0.00%)
Vinateros,13 (86.67%),1 (6.67%),1 (6.67%),0 (0.00%)
Vista Alegre,79 (80.61%),19 (19.39%),0 (0.00%),0 (0.00%)
Zofío,17 (85.00%),3 (15.00%),0 (0.00%),0 (0.00%)
