,1,2_to_5,6_to_20,21_to_many
Garrigoles,5 (71.43%),2 (28.57%),0 (0.00%),0 (0.00%)
Garriguella,15 (83.33%),3 (16.67%),0 (0.00%),0 (0.00%)
Garrigàs,6 (85.71%),1 (14.29%),0 (0.00%),0 (0.00%)
Ger,16 (88.89%),2 (11.11%),0 (0.00%),0 (0.00%)
Girona,137 (70.62%),46 (23.71%),8 (4.12%),3 (1.55%)
Gombrèn,4 (66.67%),2 (33.33%),0 (0.00%),0 (0.00%)
Gualta,7 (70.00%),3 (30.00%),0 (0.00%),0 (0.00%)
Guils de Cerdanya,37 (84.09%),6 (13.64%),1 (2.27%),0 (0.00%)
Hostalric,5 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Isòvol,16 (80.00%),4 (20.00%),0 (0.00%),0 (0.00%)
Jafre,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Juià,4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
L'Armentera,5 (62.50%),3 (37.50%),0 (0.00%),0 (0.00%)
L'Escala,329 (79.66%),60 (14.53%),17 (4.12%),7 (1.69%)
La Bisbal d'Emporda,20 (83.33%),3 (12.50%),1 (4.17%),0 (0.00%)
La Cellera de Ter,1 (25.00%),3 (75.00%),0 (0.00%),0 (0.00%)
La Jonquera,6 (85.71%),1 (14.29%),0 (0.00%),0 (0.00%)
La Pera,7 (70.00%),2 (20.00%),1 (10.00%),0 (0.00%)
La Selva de Mar,12 (85.71%),2 (14.29%),0 (0.00%),0 (0.00%)
La Tallada d'Empordà,9 (75.00%),2 (16.67%),1 (8.33%),0 (0.00%)
La Vall d'en Bas,16 (76.19%),4 (19.05%),1 (4.76%),0 (0.00%)
La Vall de Bianya,13 (61.90%),8 (38.10%),0 (0.00%),0 (0.00%)
Les Llosses,24 (80.00%),5 (16.67%),1 (3.33%),0 (0.00%)
Les Planes d'Hostoles,12 (75.00%),3 (18.75%),1 (6.25%),0 (0.00%)
Les Preses,3 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Lladó,6 (75.00%),2 (25.00%),0 (0.00%),0 (0.00%)
Llagostera,26 (92.86%),2 (7.14%),0 (0.00%),0 (0.00%)
Llambilles,2 (66.67%),0 (0.00%),1 (33.33%),0 (0.00%)
Llanars,7 (77.78%),2 (22.22%),0 (0.00%),0 (0.00%)
Llançà,163 (84.02%),22 (11.34%),5 (2.58%),4 (2.06%)
Llers,5 (83.33%),1 (16.67%),0 (0.00%),0 (0.00%)
Lloret de Mar,440 (71.31%),119 (19.29%),47 (7.62%),11 (1.78%)
Llívia,105 (84.68%),17 (13.71%),1 (0.81%),1 (0.81%)
Madremanya,5 (71.43%),2 (28.57%),0 (0.00%),0 (0.00%)
Maià de Montcal,7 (63.64%),2 (18.18%),2 (18.18%),0 (0.00%)
Masarac,1 (50.00%),1 (50.00%),0 (0.00%),0 (0.00%)
Massanes,4 (80.00%),1 (20.00%),0 (0.00%),0 (0.00%)
Maçanet de Cabrenys,7 (70.00%),3 (30.00%),0 (0.00%),0 (0.00%)
Maçanet de la Selva,40 (81.63%),7 (14.29%),2 (4.08%),0 (0.00%)
Meranges,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Mieres,2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
Mollet de Peralada,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Molló,16 (88.89%),2 (11.11%),0 (0.00%),0 (0.00%)
Mont-ras,18 (85.71%),3 (14.29%),0 (0.00%),0 (0.00%)
Montagut i Oix,11 (68.75%),4 (25.00%),1 (6.25%),0 (0.00%)
Navata,21 (87.50%),2 (8.33%),1 (4.17%),0 (0.00%)
Ogassa,4 (80.00%),0 (0.00%),1 (20.00%),0 (0.00%)
Olot,44 (75.86%),12 (20.69%),2 (3.45%),0 (0.00%)
Ordis,5 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Osor,7 (77.78%),2 (22.22%),0 (0.00%),0 (0.00%)
Palafrugell,357 (81.51%),61 (13.93%),13 (2.97%),7 (1.60%)
Palamós,263 (85.67%),38 (12.38%),3 (0.98%),3 (0.98%)
Palau de Santa Eulàlia,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Palau-sator,11 (91.67%),1 (8.33%),0 (0.00%),0 (0.00%)
Palau-saverdera,22 (68.75%),8 (25.00%),2 (6.25%),0 (0.00%)
Palol de Revardit,2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
Pals,168 (79.62%),32 (15.17%),6 (2.84%),5 (2.37%)
Pardines,3 (60.00%),2 (40.00%),0 (0.00%),0 (0.00%)
Parlavà,6 (85.71%),1 (14.29%),0 (0.00%),0 (0.00%)
Pau,16 (76.19%),5 (23.81%),0 (0.00%),0 (0.00%)
Pedret i Marzà,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Peralada,23 (92.00%),2 (8.00%),0 (0.00%),0 (0.00%)
Planoles,4 (66.67%),2 (33.33%),0 (0.00%),0 (0.00%)
Pont de Molins,2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
Pontós,7 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Porqueres,7 (63.64%),4 (36.36%),0 (0.00%),0 (0.00%)
Portbou,71 (82.56%),15 (17.44%),0 (0.00%),0 (0.00%)
Puigcerdà,113 (85.61%),14 (10.61%),5 (3.79%),0 (0.00%)
Quart,2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
Queralbs,6 (85.71%),1 (14.29%),0 (0.00%),0 (0.00%)
Rabós,3 (50.00%),3 (50.00%),0 (0.00%),0 (0.00%)
Regencós,8 (88.89%),1 (11.11%),0 (0.00%),0 (0.00%)
Ribes de Freser,24 (77.42%),6 (19.35%),1 (3.23%),0 (0.00%)
Riells i Viabrea,7 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Ripoll,10 (62.50%),4 (25.00%),2 (12.50%),0 (0.00%)
Riudarenes,10 (90.91%),1 (9.09%),0 (0.00%),0 (0.00%)
Riudaura,3 (75.00%),1 (25.00%),0 (0.00%),0 (0.00%)
Riudellots de la Selva,1 (33.33%),2 (66.67%),0 (0.00%),0 (0.00%)
Riumors,3 (42.86%),3 (42.86%),1 (14.29%),0 (0.00%)
Roses,505 (76.40%),117 (17.70%),25 (3.78%),14 (2.12%)
Rupià,6 (85.71%),1 (14.29%),0 (0.00%),0 (0.00%)
Sales de Llierca,8 (72.73%),2 (18.18%),1 (9.09%),0 (0.00%)
Salt,6 (75.00%),2 (25.00%),0 (0.00%),0 (0.00%)
Sant Andreu Salou,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Sant Aniol de Finestres,6 (60.00%),3 (30.00%),1 (10.00%),0 (0.00%)
Sant Climent Sescebes,8 (88.89%),0 (0.00%),1 (11.11%),0 (0.00%)
Sant Feliu de Buixalleu,8 (88.89%),1 (11.11%),0 (0.00%),0 (0.00%)
Sant Feliu de Guíxols,236 (82.81%),39 (13.68%),6 (2.11%),4 (1.40%)
Sant Feliu de Pallerols,5 (71.43%),2 (28.57%),0 (0.00%),0 (0.00%)
Sant Ferriol,5 (45.45%),5 (45.45%),1 (9.09%),0 (0.00%)
Sant Gregori,6 (75.00%),1 (12.50%),1 (12.50%),0 (0.00%)
Sant Hilari Sacalm,12 (70.59%),4 (23.53%),1 (5.88%),0 (0.00%)
Sant Jaume de Llierca,3 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Sant Joan de les Abadesses,14 (60.87%),9 (39.13%),0 (0.00%),0 (0.00%)
Sant Joan les Fonts,4 (66.67%),2 (33.33%),0 (0.00%),0 (0.00%)
Sant Jordi Desvalls,6 (75.00%),1 (12.50%),1 (12.50%),0 (0.00%)
Sant Julià de Ramis,6 (60.00%),4 (40.00%),0 (0.00%),0 (0.00%)
Sant Julià del Llor i Bonmatí,2 (66.67%),1 (33.33%),0 (0.00%),0 (0.00%)
Sant Llorenç de la Muga,4 (80.00%),1 (20.00%),0 (0.00%),0 (0.00%)
Sant Martí Vell,3 (60.00%),2 (40.00%),0 (0.00%),0 (0.00%)
Sant Martí de Llémena,12 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Sant Miquel de Campmajor,3 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Sant Miquel de Fluvià,3 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Sant Mori,7 (87.50%),1 (12.50%),0 (0.00%),0 (0.00%)
Sant Pau de Segúries,6 (75.00%),2 (25.00%),0 (0.00%),0 (0.00%)
Sant Pere Pescador,23 (74.19%),5 (16.13%),2 (6.45%),1 (3.23%)
Santa Coloma de Farners,11 (78.57%),3 (21.43%),0 (0.00%),0 (0.00%)
Santa Cristina d'Aro,73 (76.84%),19 (20.00%),2 (2.11%),1 (1.05%)
Santa Llogaia d'Àlguema,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Santa Pau,18 (72.00%),5 (20.00%),2 (8.00%),0 (0.00%)
Sarrià de Ter,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Saus,15 (83.33%),2 (11.11%),1 (5.56%),0 (0.00%)
Serinyà,8 (88.89%),1 (11.11%),0 (0.00%),0 (0.00%)
Serra de Daró,4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Setcases,8 (72.73%),2 (18.18%),1 (9.09%),0 (0.00%)
Sils,17 (85.00%),1 (5.00%),2 (10.00%),0 (0.00%)
Siurana,3 (75.00%),1 (25.00%),0 (0.00%),0 (0.00%)
Susqueda,3 (60.00%),2 (40.00%),0 (0.00%),0 (0.00%)
Terrades,4 (66.67%),1 (16.67%),1 (16.67%),0 (0.00%)
Torrent,4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Torroella de Fluvià,13 (86.67%),2 (13.33%),0 (0.00%),0 (0.00%)
Torroella de Montgrí,219 (77.39%),49 (17.31%),9 (3.18%),6 (2.12%)
Tortellà,4 (80.00%),1 (20.00%),0 (0.00%),0 (0.00%)
Toses,8 (88.89%),1 (11.11%),0 (0.00%),0 (0.00%)
Tossa de Mar,228 (77.82%),49 (16.72%),11 (3.75%),5 (1.71%)
Ullastret,9 (64.29%),5 (35.71%),0 (0.00%),0 (0.00%)
Ullà,4 (66.67%),1 (16.67%),1 (16.67%),0 (0.00%)
Ultramort,5 (62.50%),3 (37.50%),0 (0.00%),0 (0.00%)
Urús,7 (77.78%),2 (22.22%),0 (0.00%),0 (0.00%)
Vall-llobrega,15 (75.00%),5 (25.00%),0 (0.00%),0 (0.00%)
Vallfogona de Ripollès,3 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Ventalló,17 (73.91%),5 (21.74%),1 (4.35%),0 (0.00%)
Verges,4 (80.00%),1 (20.00%),0 (0.00%),0 (0.00%)
Vidreres,57 (76.00%),15 (20.00%),2 (2.67%),1 (1.33%)
Vidrà,3 (37.50%),5 (62.50%),0 (0.00%),0 (0.00%)
Vila-sacra,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Vilabertran,1 (50.00%),1 (50.00%),0 (0.00%),0 (0.00%)
Viladamat,9 (90.00%),1 (10.00%),0 (0.00%),0 (0.00%)
Viladasens,2 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Vilademuls,9 (60.00%),5 (33.33%),1 (6.67%),0 (0.00%)
Viladrau,8 (80.00%),2 (20.00%),0 (0.00%),0 (0.00%)
Vilafant,5 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Vilajuïga,10 (90.91%),1 (9.09%),0 (0.00%),0 (0.00%)
Vilallonga de Ter,13 (86.67%),2 (13.33%),0 (0.00%),0 (0.00%)
Vilamacolum,4 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Vilamalla,1 (100.00%),0 (0.00%),0 (0.00%),0 (0.00%)
Vilamaniscle,6 (75.00%),1 (12.50%),1 (12.50%),0 (0.00%)
Vilanant,5 (71.43%),2 (28.57%),0 (0.00%),0 (0.00%)
Vilaür,10 (90.91%),1 (9.09%),0 (0.00%),0 (0.00%)
Vilobí d'Onyar,7 (87.50%),1 (12.50%),0 (0.00%),0 (0.00%)
Vilopriu,11 (78.57%),2 (14.29%),1 (7.14%),0 (0.00%)
